ItemNumber,Giro,Genero,Articulo,Material_o_Especificaciones,Attr_o_Gauge,Medida,MedidaAd,Color,Distribuidora,Empaque,Precio,MinOrder,TermEntrega,TermPago,CodSinDist,CodConDist
6080,3,3,Batería,BATERIA GP 908G,SPRING,6 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6212,3,3,Batería,BATERIA GP 918S,TORNILLO,6 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
259,3,5,Bejuco Pajulla,BEJUCO PAJILLA,,1000 PIE,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
261,3,5,Berbioui Manaul,BERBIQUI MANAUL,10970,BC-12M,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
198,3,4,Bisagra,BISAGRA,,5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
190,3,4,Bisagra,BISAGRA,CD,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
191,3,4,Bisagra,BISAGRA,CD,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
192,3,4,Bisagra,BISAGRA,CD,5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
193,3,4,Bisagra,BISAGRA,CD,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
189,3,4,Bisagra,BISAGRA,CD,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5118,3,4,Bisagra,BISAGRA H/D LISA CAR,T6100ZP,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5519,3,4,Bisagra,BISAGRA H/D LISA CAR,T6120ZP,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5116,3,4,Bisagra,BISAGRA H/D LISA CAR,T6560ZP,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5117,3,4,Bisagra,BISAGRA H/D LISA CAR,T6580ZP,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5369,3,1,Llave,BLANCO LLAVE KW1,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
1361,3,1,Llave,BLANCO LLAVE M1,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5368,3,1,Llave,BLANCO LLAVE Y1,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2370,3,2,Tape,BLUE TAPE,,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2514,3,2,Tape,BLUE TAPE,,03/04/21,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2322,3,2,Tape,BLUE TAPE,BT2,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2347,3,2,Tape,BLUE TAPE,PT14,1 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
319,3,11,Bola,BOLA DELTA BRONCE,,SUELTA,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5268,3,11,Bola,BOLA DELTA,M/ACRI,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4059,3,11,Bola,BOLA DELTA  TW,S/STEE,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
318,3,11,Bola,BOLA DELTA BRONCE,R1205,CARDET,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
323,3,2,Bolsa,BOLSA ARENA (250),1-1130,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
361,3,2,Bolsa,BOLSA BASURA,20 PC,55 GAL,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
354,3,2,Bolsa,BOLSA CONSTRUCCION 2,20 PC,42 GAL,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
364,3,2,Bolsa,BOLSA EMPAQUE,1000 PC,8X3X20,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
362,3,2,Bolsa,BOLSA EMPAQUE,1000 PC,6.5X3X15,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
483,3,11,Bomba,BOMBA AGUA,QB-60,1/2 H. P,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
486,3,11,Bomba,BOMBA AGUA,QB-70,3/4 H. P,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
487,3,11,Bomba,BOMBA AGUA,QB-80,1 H. P,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
424,3,11,Bomba,BOMBA AGUA PROTOL,,1 H. P.,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
439,3,11,Bomba,BOMBA AGUA PROTOL,,3/4 H. P,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
471,3,1,Bomba,BOMBA AIRE BICI 23,14863,BOMTR,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
466,3,1,Bomba,BOMBA AIRE BICI MINI,13790,BOMMI,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
465,3,1,Bomba,BOMBA AIRE BICICLETA,11997,BOMMIX,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
464,3,1,Bomba,BOMBA AIRE BICICLETA,21695,BOMBAP,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6016,3,1,Bomba,BOMBA AIRE PEDAL,21693,BOPEP,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
488,3,1,Bomba,BOMBA MANUAL DIESEL,10067,BOMEX25,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
490,3,1,Bomba,BOMBA MANUAL DIESEL,16856,BOMEX28,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
491,3,1,Bomba,BOMBA MANUAL DIESEL,16857,BOMEX31,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4867,3,3,Bombilla,BOMBILLA,2 PC,25W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6640,3,3,Bombilla,BOMBILLA SPIRAL LED,1 PC,7W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5192,3,3,Bombilla,BOMBILLA HALOGENO,H300X2,300 WATT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
61,3,3,Bombilla,BOMBILLA HALOGENO,H500X2,500 WATT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6401,3,3,Bombilla,BOMBILLA LED,1 PC,7 W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6411,3,3,Bombilla,BOMBILLA LED,1 PC,9 W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6400,3,3,Bombilla,BOMBILLA LED,2 PCS,7 W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6423,3,3,Bombilla,BOMBILLA LED,2 PCS,9 W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
155,3,3,Bombilla,BOMBILLA LINTERNA,PLACA,2.4 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
156,3,3,Bombilla,BOMBILLA LINTERNA,ROSCA,2.5 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
175,3,3,Bombilla,BOMBILLA LINTERNA,ROSCA,3.8 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
176,3,3,Bombilla,BOMBILLA LINTERNA,ROSCA,6.2 VOLT,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
223,3,3,Bombilla,BOMBILLA NEVERA,J2944,40W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
394,3,3,Bombilla,BOMBILLA NIGHT LIGHT,CARDET,2 PCS,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5502,3,3,Bombilla,BOMBILLA NIGHT LIGHT,COLORES,50pcs,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
351,3,3,Bombilla,BOMBILLA NIGHT LIGHT,NL-C,25PCS,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6641,3,3,Bombilla,BOMBILLA SPIRAL LED,1 PC,9W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6397,3,3,Bombilla,BOMBILLA SPIRAL,1PC,18W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6398,3,3,Bombilla,BOMBILLA SPIRAL,1PC,23W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6399,3,3,Bombilla,BOMBILLA SPIRALSWD,1PC,15W/60W,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
277,3,5,Botas,BOTAS ALTA,,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
278,3,5,Botas,BOTAS ALTA,,7,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
279,3,5,Botas,BOTAS ALTA,,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
280,3,5,Botas,BOTAS ALTA,,9,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
281,3,5,Botas,BOTAS ALTA,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
282,3,5,Botas,BOTAS ALTA,,11,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
283,3,5,Botas,BOTAS ALTA,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
6471,3,5,Botas,BOTAS ALTA,,13,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
285,3,5,Botas,BOTAS ALTA P/ACERO,,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
286,3,5,Botas,BOTAS ALTA P/ACERO,,9,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
287,3,5,Botas,BOTAS ALTA P/ACERO,,10,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
288,3,5,Botas,BOTAS ALTA P/ACERO,,11,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
290,3,5,Botas,BOTAS ALTA P/ACERO,,12,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
291,3,5,Botas,BOTAS ALTA P/ACERO,,13,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
356,3,4,Botón,BOTON GAB,A/B,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
357,3,4,Botón,BOTON GAB,A/C,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
358,3,4,Botón,BOTON GAB,W/G,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4788,3,4,Botón,BOTON GAB BRONCE,,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
315,3,11,Boya,BOYA INODORO,PLASTICA,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
316,3,11,Boya,BOYA INODORO,PLASTICA,5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4125,3,11,Boya,BOYA TW,PLASTICA,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
4129,3,11,Boya,BOYA WATTS,USA,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5488,3,11,Boya,BOYAS FLOTANTES,202 R/W,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5503,3,11,Boya,BOYAS FLOTANTES,203 R/ W,1 1/4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
359,3,1,Bracket,BRACKET FILTRO CISTE,78-51-S,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
322,3,1,Bracket,BRACKET LAVABO,,7,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
360,3,11,Brazo Ducha,BRAZO DUCHA METAL,241-17,1/2 X 17,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
355,3,11,Brazo Ducha,BRAZO DUCHA METAL,627CHP,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
301,3,11,Brazo Ducha,BRAZO DUCHA METAL,MTL,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
302,3,11,Brazo Ducha,BRAZO DUCHA PLASTICO,R304P,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
310,3,11,Brazo Ducha,BRAZO DUCHA SET CROM,PLA,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
844,3,6,Brocha,BROCHA 1123,1123,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
454,3,6,Brocha,BROCHA 1123,1123,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
822,3,6,Brocha,BROCHA 1123,1123,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
230,3,6,Brocha,BROCHA 1610,100,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
226,3,6,Brocha,BROCHA 1610,150,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
227,3,6,Brocha,BROCHA 1610,200,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
228,3,6,Brocha,BROCHA 1610,250,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
229,3,6,Brocha,BROCHA 1610,300,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
231,3,6,Brocha,BROCHA 1610,400,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
207,3,6,Brocha,BROCHA 445,445,1 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
209,3,6,Brocha,BROCHA 445,445,2 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
211,3,6,Brocha,BROCHA 445,445,3 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
212,3,6,Brocha,BROCHA 445,445,4 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
210,3,6,Brocha,BROCHA 445,445,2 1/2 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
208,3,6,Brocha,BROCHA 445,445,1  1/2 B,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
201,3,6,Brocha,BROCHA 459,459,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
203,3,6,Brocha,BROCHA 459,459,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
205,3,6,Brocha,BROCHA 459,459,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
206,3,6,Brocha,BROCHA 459,459,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
202,3,6,Brocha,BROCHA 459,459,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
204,3,6,Brocha,BROCHA 459,459,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
289,3,6,Brocha,BROCHA 479,479,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
256,3,6,Brocha,BROCHA 832,,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
255,3,6,Brocha,BROCHA 832,,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
254,3,6,Brocha,BROCHA 832,,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
258,3,6,Brocha,BROCHA 832,,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2169,3,6,Brocha,BROCHA C/DIAGONAL,2123,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5151,3,6,Brocha,BROCHA FOAM,7040,4PCS,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
233,3,6,Brocha,BROCHA FOAM SET,,3 PCS,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
232,3,6,Brocha,BROCHA MAGEY USA,40031,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5259,3,6,Brocha,BROCHA MARINE,710-15,1 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5248,3,6,Brocha,BROCHA MARINE,710-20,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5249,3,6,Brocha,BROCHA MARINE,710-25,2 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5258,3,6,Brocha,BROCHA MARINE,710-30,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3804,3,6,Brocha,BROCHA PREMIUM,700-15,1 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3805,3,6,Brocha,BROCHA PREMIUM,700-20,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3806,3,6,Brocha,BROCHA PREMIUM,700-25,2 1/2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
3807,3,6,Brocha,BROCHA PREMIUM,700-30,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
2576,3,6,Brocha,BROCHA RUBIA,,44198,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
216,3,6,Brocha,BROCHA RUBIA,100,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
217,3,6,Brocha,BROCHA RUBIA,150,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
218,3,6,Brocha,BROCHA RUBIA,200,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
219,3,6,Brocha,BROCHA RUBIA,250,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
220,3,6,Brocha,BROCHA RUBIA,300,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
234,3,6,Brocha,BROCHA RUBIA,1500,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
221,3,6,Brocha,BROCHA RUBIA,1504,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
222,3,6,Brocha,BROCHA RUBIA HD,,1,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
250,3,6,Brocha,BROCHA RUBIA HD,,2,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
252,3,6,Brocha,BROCHA RUBIA HD,,3,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
253,3,6,Brocha,BROCHA RUBIA HD,,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
224,3,6,Brocha,BROCHA RUBIA HD,,1.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
251,3,6,Brocha,BROCHA RUBIA HD,,2.5,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
308,3,2,Buzón,BUZON PARED HORIZON,10225,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
309,3,2,Buzón,BUZON PARED VERTICA,10215,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
5282,3,1,C Clamp,C CLAMP,3 PCS,,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
860,3,1,C Clamp,C-CLAMP SURTEK,107054,4,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
861,3,1,C Clamp,C-CLAMP SURTEK,107056,6,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
862,3,1,C Clamp,C-CLAMP SURTEK,107058,8,MedidaAdicional,Color,Serafin,Empaque,Precio,MinOrder,TermEntrega,TermPago,,
